Rk,Date,Tm,Opp,Rslt,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,#,Attendance,GmLen
313,2015-06-17,MIN,STL,W 3-1,9.0,8,1,1,0,8,0,0,143,101,1,0,33,33,2,0,0,0,0,0,1,2,0,0,0,0,1.00,0.527,3.511,1.557,3,34381,167
314,2015-07-03,SDP,STL,W 2-1,9.0,4,1,1,3,4,0,0,123,79,1,0,31,27,0,0,0,1,0,0,3,1,0,0,0,0,1.00,0.526,3.229,1.544,4,47330,155
315,2015-05-29,COL,PHI,W 4-1,9.0,2,1,0,0,8,0,1,123,79,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.525,3.187,1.099,2,22227,152
316,2015-07-27,BAL,ATL,W 2-1,11.0,9,1,1,1,8,1,0,165,108,2,0,42,41,2,0,0,0,0,0,0,2,0,0,0,0,0.82,0.524,4.512,1.520,5,26256,200
317,2015-07-01,NYY,LAA,W 3-1,9.0,6,1,1,5,7,1,0,157,91,3,0,36,31,0,0,0,0,0,0,2,1,0,0,0,1,1.00,0.524,3.116,1.655,4,40938,202
318,2015-06-27,KCR,OAK,W 3-2,9.0,4,2,1,4,7,0,1,142,90,0,0,34,30,3,0,0,0,0,0,2,2,0,0,0,0,1.00,0.524,2.381,1.592,4,28619,169
319,2015-06-06,SEA,TBR,W 2-1,9.0,3,1,1,3,8,0,0,128,87,0,0,32,29,0,1,0,0,0,0,0,2,0,0,0,2,1.00,0.524,3.116,1.291,3,31106,165
320,2015-05-31,OAK,NYY,W 3-0,9.0,8,0,0,1,7,0,0,128,82,0,0,34,33,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.524,4.380,1.254,2,25457,141
321,2015-09-11,MIA,WSN,W 2-1,9.0,7,1,0,4,8,0,1,161,97,2,0,37,32,0,0,0,0,0,1,1,0,0,0,0,0,0.00,0.523,3.106,1.597,6,17167,163
322,2015-08-17,STL,SFG,W 2-1,9.0,6,1,1,2,8,0,0,119,84,0,0,34,31,1,0,0,0,1,0,1,0,0,0,0,0,1.00,0.523,3.229,1.404,3,40088,160
323,2015-08-09,CHC,SFG,W 2-0,9.0,7,0,0,2,9,0,0,155,101,1,0,38,34,1,1,0,2,0,0,0,2,0,0,0,0,0.00,0.523,4.148,1.786,3,39939,193
324,2015-08-04,CIN,STL,W 3-2,9.0,9,2,2,1,11,1,0,130,86,0,0,36,35,0,1,0,0,0,0,1,0,0,0,0,0,2.00,0.523,2.187,1.460,4,25969,144
325,2015-07-08,NYM,SFG,W 4-1,9.0,5,1,1,1,10,0,0,115,79,1,0,34,32,1,0,0,0,1,0,0,0,0,0,0,1,1.00,0.523,3.057,1.033,3,41914,148
326,2015-06-10,PIT,MIL,W 2-0,9.0,3,0,0,3,6,0,0,111,74,2,0,31,28,0,0,0,0,0,0,2,0,0,0,0,0,0.00,0.523,4.148,1.155,3,26269,142
327,2015-07-30,CLE,OAK,W 3-1,9.0,2,1,1,1,7,0,0,103,72,,,30,29,1,0,0,0,0,0,0,1,0,0,0,0,1.00,0.522,3.379,1.008,1,13173,135
328,2015-07-10,KCR,TOR,W 3-0,9.0,6,0,0,3,5,0,0,147,89,0,0,35,31,2,0,0,1,0,0,1,0,0,0,0,0,0.00,0.522,4.510,1.161,4,31558,175
329,2015-04-23,LAA,OAK,W 2-0,9.0,8,0,0,2,8,0,0,145,95,1,0,37,35,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.522,4.116,1.268,4,24304,140
330,2015-06-19,CIN,MIA,W 5-0,9.0,4,0,0,3,9,0,0,125,80,0,0,34,30,1,0,0,1,0,0,1,0,0,0,0,0,0.00,0.521,4.187,1.201,3,33379,147
331,2015-06-18,SDP,OAK,W 3-1,9.0,5,1,1,1,7,1,0,130,87,0,0,32,31,3,0,0,0,0,0,1,0,0,0,0,1,1.00,0.521,3.381,1.162,4,16643,159
332,2015-10-03,CIN,PIT,W 3-1,9.0,4,1,1,2,10,0,0,137,82,1,0,34,30,0,1,0,1,1,0,0,0,0,0,0,0,1.00,0.520,3.148,1.145,4,34180,181
333,2015-08-16,ATL,ARI,W 2-1,10.0,3,1,1,4,13,0,0,148,97,3,1,36,32,0,0,0,0,0,0,1,0,0,0,0,0,0.90,0.520,3.418,1.598,5,20840,193
334,2015-07-19,NYY,SEA,W 2-1,9.0,7,1,1,3,10,0,0,135,85,0,0,36,31,0,0,0,0,2,0,1,1,0,0,0,2,1.00,0.519,3.339,1.507,4,42926,165
335,2015-05-26,CIN,COL,W 2-1,9.0,4,1,1,4,7,1,0,133,86,0,0,32,28,0,0,0,0,0,0,2,0,1,1,0,2,1.00,0.518,3.187,1.607,3,22523,159
336,2015-05-21,TBR,OAK,W 3-0,9.0,6,0,0,2,9,0,0,153,101,0,0,34,32,0,1,0,0,0,0,0,0,1,0,0,0,0.00,0.518,4.248,1.059,5,10605,178
337,2015-05-04,SFG,SDP,W 2-0,9.0,2,0,0,1,9,0,0,128,87,0,0,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.517,4.057,1.229,3,41278,152
338,2015-04-27,SEA,TEX,W 3-1,9.0,8,1,0,2,7,0,1,130,85,1,0,36,34,1,0,0,0,0,0,0,1,0,0,0,0,0.00,0.517,3.600,1.583,4,19748,167
339,2015-06-18,KCR,MIL,W 3-2,9.0,8,2,2,1,7,0,0,109,74,0,0,37,35,1,0,0,0,0,1,1,1,0,0,0,0,2.00,0.516,2.510,1.835,4,36318,158
340,2015-07-26,ATL,STL,W 3-2,9.0,8,2,2,4,4,0,0,133,88,0,0,38,34,3,0,1,0,0,0,0,0,0,0,0,1,2.00,0.515,2.229,1.823,3,44780,182
341,2015-07-17,SFG,ARI,W 6-5,12.0,14,5,5,3,14,1,0,204,136,5,0,52,47,5,2,0,0,0,2,1,1,0,0,0,1,3.75,0.515,0.759,1.511,10,26922,311
342,2015-04-14,TBR,TOR,W 3-2,9.0,8,2,2,1,4,0,0,154,94,4,1,37,35,1,0,0,1,0,0,0,0,0,0,0,0,2.00,0.514,2.338,1.568,5,17264,186
343,2015-07-04,STL,SDP,W 2-1,9.0,9,1,1,2,6,1,0,130,88,2,0,36,32,0,0,0,0,2,0,0,0,1,0,0,0,1.00,0.513,3.229,1.413,4,44690,157
344,2015-05-13,TBR,NYY,W 3-2,9.0,10,2,2,2,12,0,0,165,108,0,0,39,37,0,0,0,0,0,0,0,1,0,0,0,1,2.00,0.513,2.248,1.422,5,11924,161
345,2015-08-16,COL,SDP,W 5-0,9.0,5,0,0,1,4,0,0,106,71,,,32,31,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.512,4.994,1.060,1,28927,151
346,2015-06-17,PIT,CHW,W 3-2,9.0,4,2,2,2,10,0,0,136,84,0,0,33,30,1,0,0,1,0,0,0,0,0,0,0,0,2.00,0.512,2.196,1.241,4,19194,147
347,2015-06-06,ARI,NYM,W 2-1,9.0,10,1,1,2,8,1,0,153,101,3,0,36,33,0,0,0,0,0,0,4,0,0,0,0,0,1.00,0.512,3.318,1.393,4,30265,160
348,2015-08-27,TEX,TOR,W 4-1,9.0,8,1,1,5,7,0,0,176,109,4,0,37,32,1,0,0,0,0,0,2,3,0,0,0,0,1.00,0.511,3.602,1.237,5,17884,220
349,2015-06-19,TBR,CLE,W 4-1,9.0,7,1,1,3,9,0,0,140,91,2,0,35,32,1,0,0,0,0,0,1,0,0,0,0,2,1.00,0.511,3.642,1.390,5,22811,181
350,2015-10-02,KCR,MIN,W 3-1,9.0,6,1,1,2,7,0,0,127,83,1,0,33,31,0,0,0,0,0,0,2,0,0,0,0,1,1.00,0.510,3.510,1.176,4,31534,175
351,2015-09-29,ATL,WSN,W 2-1,9.0,7,1,1,3,5,1,0,125,79,1,0,34,31,1,0,0,0,0,0,3,0,0,0,0,0,1.00,0.510,2.976,1.827,3,15272,150
352,2015-06-17,ARI,LAA,W 3-2,9.0,11,2,2,1,4,0,0,135,84,4,0,37,36,2,1,0,0,0,0,3,0,0,0,0,0,2.00,0.510,2.319,1.757,5,28481,180
353,2015-08-20,CLE,NYY,W 3-2,9.0,5,2,2,3,9,1,0,143,93,0,0,35,32,1,0,0,0,0,0,0,1,0,0,0,0,2.00,0.509,2.339,1.760,3,36129,187
354,2015-04-20,DET,NYY,W 2-1,9.0,7,1,1,0,7,1,0,124,79,2,0,31,30,1,0,0,0,1,0,2,1,1,0,0,0,1.00,0.509,3.289,1.227,3,27540,140
355,2015-04-17,TEX,SEA,W 3-1,9.0,8,1,1,2,5,0,0,147,90,2,0,34,31,1,0,0,0,0,1,3,0,0,0,0,0,1.00,0.509,3.116,1.640,4,36606,180
356,2015-09-30,ATL,WSN,W 2-0,9.0,6,0,0,3,5,0,0,123,78,0,0,34,31,2,0,1,0,0,0,2,0,0,0,0,0,0.00,0.508,3.977,1.171,4,13860,132
357,2015-09-18,SEA,TEX,W 3-1,9.0,6,1,1,5,11,0,0,164,92,3,0,37,31,0,0,0,1,0,0,2,0,0,0,0,2,1.00,0.508,3.601,1.551,6,26727,195
358,2015-07-05,WSN,SFG,W 3-1,9.0,4,1,1,2,9,1,0,125,80,1,0,33,31,0,0,0,0,0,0,0,1,0,0,0,0,1.00,0.508,3.358,1.167,4,33157,182
359,2015-10-02,PIT,CIN,W 6-4,12.0,11,4,4,2,12,1,0,203,130,0,0,51,47,2,0,0,1,1,0,0,1,0,0,0,1,3.00,0.507,1.531,1.315,7,31442,263
360,2015-08-16,MIN,CLE,W 4-1,9.0,6,1,1,3,6,0,0,131,85,0,0,36,31,2,0,0,0,1,1,0,0,1,0,0,0,1.00,0.507,3.509,1.250,5,27244,168
361,2015-06-28,TOR,TEX,W 3-2,9.0,9,2,1,4,13,0,1,149,99,8,1,41,37,2,0,0,0,0,0,0,3,0,0,0,0,1.00,0.507,2.338,1.891,5,42376,160
362,2015-05-19,CLE,CHW,W 3-1,9.0,4,1,1,4,11,0,0,139,84,5,0,35,30,1,0,0,0,1,0,0,0,0,0,0,0,1.00,0.507,3.197,1.581,4,15681,177
363,2015-05-04,TEX,HOU,W 2-1,9.0,4,1,1,2,9,0,0,134,78,0,0,32,29,2,0,0,0,0,1,1,2,0,0,0,1,1.00,0.507,3.380,1.068,3,17597,156
