Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
641,2015-06-19,STL,PHI,W 12-4,52,41,12,16,3,0,3,12,10,0,10,0,0,1,0,1,0,0,0.365,7.813,.276,13,15,21169,214
642,2015-05-23,ARI,CHC,L 6-9,36,34,6,7,2,0,1,6,2,0,8,0,0,0,2,0,0,2,0.365,1.684,1.012,3,15,30502,194
643,2015-04-24,COL,SFG,W 6-4,41,38,6,15,7,0,1,6,3,1,4,0,0,0,0,0,0,1,0.365,1.561,1.078,11,15,31453,171
644,2015-09-12,BOS,TBR,W 10-4,44,40,10,13,2,0,5,10,3,0,3,1,0,0,1,0,1,1,0.364,5.750,.278,7,12,20698,176
645,2015-07-30,CIN,PIT,W 15-5,52,43,15,19,3,0,3,15,6,0,6,2,0,1,1,0,4,0,0.364,11.277,.304,13,14,35715,217
646,2015-07-03,SEA,OAK,W 9-5,40,40,9,13,3,0,4,9,0,0,6,0,0,0,2,2,1,0,0.364,4.621,.901,4,11,35067,172
647,2015-05-12,PIT,PHI,W 7-2,38,33,7,8,2,0,2,7,3,0,6,1,1,0,0,1,1,0,0.364,2.811,.733,4,12,20393,169
648,2015-05-03,MIN,CHW,W 13-3,47,45,13,19,1,1,2,12,1,0,8,1,0,0,3,1,0,0,0.364,8.992,.490,10,10,22423,200
649,2015-08-30,STL,SFG,W 7-5,41,38,7,13,3,1,3,7,3,0,6,0,0,0,0,1,0,0,0.363,2.943,.576,7,15,41770,188
650,2015-06-28,NYM,CIN,W 7-2,38,32,7,8,2,0,0,6,5,2,3,1,0,0,1,0,1,0,0.363,3.466,.900,7,13,29640,176
651,2015-06-12,TEX,MIN,W 6-2,32,29,6,6,1,0,1,6,3,1,8,0,0,0,0,0,1,0,0.363,1.911,1.537,2,9,41765,159
652,2015-05-23,PIT,NYM,W 8-2,36,33,8,10,3,0,2,7,2,0,5,0,0,1,1,0,1,0,0.363,4.313,.375,4,14,39385,161
653,2015-05-08,SDP,ARI,W 6-5,43,37,6,12,2,2,2,6,6,0,7,0,0,0,0,1,3,2,0.363,1.681,1.046,10,14,28677,206
654,2015-04-26,TEX,LAA,W 5-4,52,42,5,9,1,0,1,4,7,1,9,2,0,1,2,0,1,1,0.363,-0.030,1.310,14,12,35053,253
655,2015-04-19,NYM,MIA,W 7-6,35,30,7,8,2,0,0,7,4,0,5,1,0,0,0,2,0,0,0.363,3.466,.868,4,14,41234,169
656,2015-08-29,LAD,CHC,W 5-2,37,34,5,11,2,0,0,5,1,0,7,0,1,0,0,0,4,0,0.362,1.431,1.128,8,16,51697,203
657,2015-05-15,ATL,MIA,W 5-3,39,39,5,13,4,0,0,4,0,0,10,0,0,0,1,0,2,0,0.362,0.893,1.382,7,16,18334,190
658,2015-04-24,CLE,DET,W 13-1,43,38,13,15,4,0,3,13,3,0,3,0,1,1,0,2,0,0,0.362,8.712,.458,3,11,28192,172
659,2015-09-19,COL,SDP,W 10-2,45,39,10,18,3,0,1,9,5,0,8,0,0,1,0,2,0,0,0.361,5.560,.305,11,17,30875,185
660,2015-09-13,MIN,CHW,W 7-0,44,41,7,15,2,0,1,7,3,0,10,0,0,0,1,1,0,1,0.361,2.803,.326,10,12,23159,177
661,2015-08-17,CLE,BOS,W 8-2,40,36,8,10,3,0,2,8,3,0,11,0,1,0,1,0,2,1,0.361,3.358,.637,5,9,32701,192
662,2015-04-09,TEX,OAK,W 10-1,43,38,10,12,1,0,4,9,2,0,5,2,0,1,1,1,0,0,0.361,5.621,.382,6,9,16045,152
663,2015-08-23,CHC,ATL,W 9-3,44,36,9,11,0,0,5,9,6,0,9,2,0,0,1,0,0,0,0.360,5.313,.190,11,16,39581,177
664,2015-08-21,MIL,WSN,W 10-3,44,36,10,14,3,0,1,9,3,0,7,0,1,3,0,1,1,0,0.360,5.641,.683,7,15,29916,204
665,2015-06-11,CHC,CIN,W 6-3,39,33,6,8,3,0,2,5,5,1,10,1,0,0,1,0,0,0,0.360,2.313,.656,9,16,35031,178
666,2015-06-03,STL,MIL,W 7-4,36,32,7,10,1,0,0,7,2,0,7,0,0,2,1,1,0,0,0.360,3.240,.429,5,13,41567,160
667,2015-08-21,CHW,SEA,W 11-4,46,40,11,16,4,0,0,11,5,0,8,0,1,0,0,0,1,1,0.359,6.883,.881,8,11,35770,186
668,2015-05-27,BAL,HOU,W 5-4,34,33,5,10,1,0,3,4,0,0,9,1,0,0,0,1,2,0,0.359,0.991,.788,5,10,16401,146
669,2015-04-29,STL,PHI,W 5-2,35,32,5,9,2,1,0,5,2,0,6,0,1,0,0,0,0,1,0.359,1.241,.851,6,13,40399,158
670,2015-04-13,ARI,SDP,W 8-4,44,39,8,12,3,1,0,7,4,0,11,0,1,0,1,0,2,0,0.359,4.102,.685,9,14,19538,182
671,2015-04-10,OAK,SEA,W 12-0,44,40,12,16,5,0,1,12,4,2,6,0,0,0,0,0,0,0,0.359,8.107,.259,8,11,30114,164
672,2015-09-20,WSN,MIA,W 13-3,41,33,13,13,4,0,1,13,5,0,6,0,1,2,0,0,0,0,0.358,9.126,.511,4,13,28444,177
673,2015-09-07,COL,SDP,W 6-4,36,34,6,9,2,1,1,4,1,0,16,0,1,0,1,1,0,1,0.358,2.103,.745,3,18,24585,199
674,2015-09-05,SEA,OAK,W 8-3,44,36,8,14,5,0,2,8,7,0,5,0,1,0,0,1,0,0,0.358,3.620,.502,9,10,27387,177
675,2015-08-25,NYM,PHI,W 6-5,40,34,6,7,2,0,1,6,6,0,10,0,0,0,1,1,0,0,0.358,1.812,1.167,7,15,23544,211
676,2015-08-25,STL,ARI,W 9-1,47,37,9,12,2,1,1,9,6,0,7,1,0,2,0,0,2,0,0.358,4.681,.400,11,15,18720,190
677,2015-08-06,TOR,MIN,W 9-3,40,36,9,14,5,0,1,9,4,1,9,0,0,0,0,1,1,0,0.358,5.143,.499,7,9,34847,159
678,2015-07-01,MIL,PHI,W 9-5,44,43,9,17,4,1,1,9,1,0,6,0,0,0,0,1,0,0,0.358,4.811,.461,8,13,27069,178
679,2015-07-04,MIL,CIN,W 7-3,47,35,7,11,0,0,1,6,8,2,6,4,0,0,0,1,4,1,0.357,2.813,.926,13,15,38663,226
680,2015-05-09,SDP,ARI,W 6-4,54,49,6,14,5,0,1,6,4,1,8,0,0,1,0,0,3,0,0.357,0.241,1.358,12,18,27340,257
681,2015-05-07,KCR,CLE,W 7-4,42,36,7,12,1,0,1,6,4,0,8,1,1,0,1,0,1,0,0.357,2.991,.744,11,9,38271,193
682,2015-09-14,MIN,DET,W 7-1,39,35,7,13,2,0,1,7,4,0,5,0,0,0,0,2,0,0,0.356,2.992,.426,8,10,17833,176
683,2015-08-29,KCR,TBR,W 6-3,44,41,6,11,3,0,0,6,3,1,8,0,0,0,3,0,3,0,0.356,1.752,1.120,11,9,24372,200
684,2015-08-22,TOR,LAA,W 15-3,49,42,15,20,3,1,2,15,4,0,7,0,1,2,0,1,0,0,0.356,10.882,.388,7,12,42578,196
685,2015-07-25,CHW,CLE,W 10-3,44,42,10,16,2,0,1,10,2,0,11,0,0,0,0,1,1,0,0.356,5.361,.325,7,10,24763,174
686,2015-07-04,CHC,MIA,W 7-2,32,28,7,4,1,0,2,7,3,0,5,1,0,0,0,0,0,0,0.356,3.314,.426,1,13,37898,160
687,2015-06-07,NYY,LAA,W 6-2,32,30,6,7,1,0,3,6,1,0,10,1,0,0,0,0,0,0,0.356,2.143,.729,2,11,43178,140
688,2015-06-04,MIN,BOS,W 8-4,45,40,8,11,1,0,1,7,4,2,7,0,0,1,3,0,1,0,0.356,3.358,1.369,10,9,33615,192
689,2015-05-15,HOU,TOR,W 8-4,36,34,8,11,3,0,3,8,0,0,5,1,0,1,0,0,0,0,0.356,4.107,.440,4,9,21653,149
690,2015-09-25,PHI,WSN,W 8-2,39,36,8,10,2,0,4,8,2,0,11,0,1,0,0,1,0,0,0.355,3.642,.553,4,12,31019,150
691,2015-08-29,TOR,DET,W 15-1,48,40,15,18,4,0,4,15,7,1,7,0,0,1,1,1,1,1,0.355,11.142,.299,9,11,46444,205
692,2015-08-28,ARI,OAK,W 6-4,35,31,6,8,4,0,1,6,2,0,7,0,1,1,0,0,0,0,0.355,2.162,1.118,5,15,30059,176
693,2015-08-02,MIA,SDP,W 5-2,35,29,5,7,2,0,1,5,4,0,6,0,1,1,0,0,1,1,0.355,1.132,.940,5,15,25228,185
694,2015-05-29,CIN,WSN,W 5-2,37,33,5,11,1,0,2,5,3,0,2,0,0,1,0,1,1,0,0.355,1.277,1.009,8,15,28877,182
695,2015-05-06,LAA,SEA,W 4-3,33,31,4,7,2,1,1,4,2,0,5,0,0,0,0,1,0,0,0.355,0.527,.870,4,11,25160,155
696,2015-06-02,OAK,DET,W 5-3,39,34,5,7,0,0,1,5,5,0,9,0,0,0,0,1,0,0,0.354,0.711,1.094,7,10,28362,170
697,2015-09-27,MIN,DET,W 7-1,41,37,7,11,2,1,1,7,3,0,8,1,0,0,1,1,1,0,0.353,2.713,.449,7,10,33517,177
698,2015-09-20,NYY,NYM,W 11-2,46,38,11,9,1,0,2,11,7,0,12,1,0,0,1,0,2,0,0.353,7.025,.688,8,20,43571,215
699,2015-08-25,WSN,SDP,W 8-3,42,35,8,10,3,0,2,8,7,1,4,0,0,0,1,0,0,0,0.353,4.125,.738,10,13,34199,188
700,2015-08-18,OAK,LAD,W 5-4,42,39,5,12,4,0,0,5,2,0,9,0,1,0,1,0,0,0,0.353,1.238,1.708,10,9,35067,225
701,2015-08-09,HOU,OAK,L 4-5,36,32,4,6,2,0,1,4,4,0,12,0,0,0,0,0,1,1,0.353,-0.379,1.295,5,11,20278,215
702,2015-08-03,BAL,OAK,W 9-2,42,40,9,14,4,0,2,9,2,0,8,0,0,0,1,2,0,0,0.353,4.620,.316,6,10,11476,167
703,2015-07-22,WSN,NYM,W 4-3,40,31,4,9,1,0,0,4,8,1,7,0,1,0,0,1,2,0,0.353,0.127,1.603,12,13,41291,182
704,2015-05-09,TBR,TEX,W 7-2,37,32,7,10,2,0,3,7,4,0,4,1,0,0,0,0,1,2,0.353,3.225,.521,6,10,20943,198
705,2015-05-07,ARI,SDP,W 11-0,42,41,11,17,8,0,2,10,1,0,5,0,0,0,0,0,0,0,0.353,7.161,.247,7,14,16929,172
706,2015-05-06 (1),ARI,COL,W 13-7,50,41,13,19,4,0,2,13,8,0,7,0,0,1,0,4,2,0,0.353,8.005,.492,10,16,0,209
707,2015-09-13,BAL,KCR,W 8-2,38,35,8,12,2,0,4,8,3,0,5,0,0,0,1,2,0,0,0.352,3.990,.383,6,9,22496,157
708,2015-08-21,CHC,ATL,W 5-3,36,32,5,8,3,0,1,4,4,0,9,0,0,0,2,2,0,0,0.352,1.313,1.190,7,17,39211,173
709,2015-07-08,CHW,TOR,W 7-6,46,41,7,16,3,0,1,7,3,0,12,1,0,1,0,1,0,1,0.352,2.337,1.773,9,11,17032,231
710,2015-07-02,MIA,SFG,W 5-4,36,31,5,8,1,1,2,5,5,0,4,0,0,0,0,1,1,0,0.352,1.350,.949,7,13,32598,165
711,2015-05-27,PIT,MIA,W 5-2,37,35,5,11,2,1,0,5,2,0,5,0,0,0,0,0,1,0,0.352,1.314,1.533,8,14,33238,158
712,2015-05-12,OAK,BOS,W 9-2,40,36,9,12,1,1,3,9,4,0,5,0,0,0,0,0,0,0,0.352,5.106,.270,7,9,24605,152
713,2015-07-24,PHI,CHC,W 5-3,41,39,5,12,3,1,1,5,0,0,8,1,1,0,0,0,3,0,0.351,0.394,1.720,6,16,41230,193
714,2015-07-22,CLE,MIL,W 7-5,43,37,7,14,3,0,2,7,6,2,5,0,0,0,0,3,1,0,0.351,2.772,1.041,9,17,32588,207
715,2015-06-26,LAD,MIA,W 7-1,43,38,7,13,1,0,1,7,4,1,6,1,0,0,0,1,0,0,0.351,2.894,.552,9,13,21957,158
716,2015-06-04,CIN,PHI,W 6-4,38,30,6,6,2,0,0,5,6,1,5,0,2,0,1,1,1,1,0.351,1.812,.990,5,11,21057,161
717,2015-08-23,STL,SDP,W 10-3,43,36,10,11,3,2,2,9,4,1,8,1,0,2,1,1,2,0,0.350,6.102,.429,6,17,33756,209
718,2015-07-28,CHW,BOS,W 9-4,45,39,9,14,7,1,2,9,4,0,9,2,0,0,0,1,0,0,0.350,4.360,.485,9,10,38063,159
719,2015-06-21,ARI,SDP,W 7-2,33,30,7,4,1,0,0,5,2,0,6,1,0,0,2,0,1,0,0.350,3.161,.460,2,10,35590,150
720,2015-06-20,NYY,DET,W 14-3,48,40,14,18,1,1,5,14,6,0,5,1,0,1,0,2,0,0,0.350,10.142,.364,10,13,48092,204
721,2015-05-06,ATL,PHI,W 7-5,35,32,7,12,4,0,1,7,2,0,6,0,0,1,0,3,2,0,0.350,3.466,.656,4,15,17772,187
722,2015-04-10,CIN,STL,W 5-4,31,26,5,4,0,0,2,5,4,1,3,0,0,1,0,1,2,0,0.350,1.276,1.254,2,14,30808,146
723,2015-08-21,SDP,STL,W 9-3,40,37,9,13,2,0,3,8,3,0,9,0,0,0,1,0,0,1,0.349,5.536,.630,7,16,32734,187
724,2015-07-20,CIN,CHC,W 5-4,33,30,5,8,1,1,3,4,3,0,3,0,0,0,0,2,0,0,0.349,1.279,.978,4,14,34900,189
725,2015-06-20,SFG,LAD,W 6-2,38,32,6,8,2,0,2,6,2,0,5,2,0,2,0,1,0,0,0.349,1.984,.609,5,13,53123,176
726,2015-05-14,CHC,NYM,W 6-5,35,31,6,6,1,0,1,5,2,0,3,2,0,0,1,0,1,0,0.349,2.315,1.317,5,17,31496,169
727,2015-08-25,SEA,OAK,W 6-5,39,34,6,11,4,1,2,6,4,1,7,0,1,0,0,0,0,0,0.348,2.342,1.086,9,9,17498,185
728,2015-06-23,DET,CLE,W 7-3,39,36,7,9,3,0,1,6,3,0,14,0,0,0,1,1,0,0,0.347,2.358,.793,5,9,19156,208
729,2015-05-26,CHC,WSN,W 3-2,36,33,3,9,3,0,2,3,3,0,5,0,0,0,0,1,0,1,0.347,-0.840,1.257,7,13,30440,153
730,2015-05-12,SEA,SDP,W 11-4,42,36,11,15,2,0,6,11,4,0,7,1,1,0,0,0,0,1,0.347,7.340,.254,7,12,16148,197
731,2015-09-07,BOS,TOR,W 11-4,42,37,11,17,4,0,2,11,1,0,3,1,2,1,0,1,0,0,0.346,6.875,.628,7,11,33659,168
732,2015-05-12,SFG,HOU,W 8-1,43,38,8,12,2,0,0,7,4,0,8,1,0,0,0,0,0,1,0.346,3.621,.626,8,10,20468,159
733,2015-04-23,PIT,CHC,W 5-4,36,34,5,10,4,0,1,5,2,1,7,0,0,0,0,0,1,0,0.346,1.313,1.241,7,17,22224,186
734,2015-09-16,BOS,BAL,W 10-1,43,39,10,12,2,0,3,10,4,0,5,0,0,0,0,0,0,0,0.345,5.491,.306,6,12,22642,171
